time,data
1726937012.04,0.00288965413347
1726937022.68,0.000360819452908
1726937033.14,0.000645130698103
1726937043.41,0.00162166135851
1726937053.34,0.00295338709839
1726937063.09,0.000782390532549
1726937072.7,0.00345662003383
1726937082.06,0.00356602435932
1726937091.3,0.00342734064907
1726937100.32,0.00231923768297
1726937109.37,0.00548012228683
1726937118.06,0.00405845791101
1726937126.92,0.0036642474588
1726937135.67,0.0142279183492
1726937144.14,0.0152206914499
1726937152.83,0.0225155930966
1726937161.55,0.0247490108013
1726937170.39,0.0527270250022
1726937179.43,0.0392202809453
1726937188.29,0.0350531078875
1726937197.35,0.0138212405145
1726937206.63,0.0276191215962
1726937215.67,0.0318098664284
1726937225.02,0.0196181796491
