time,data
1726941528.03,0.00484189111739
1726941538.51,0.000554524362087
1726941549.04,0.000575562356971
1726941559.27,0.00119407265447
1726941569.28,0.00190878391732
1726941578.95,0.00163745461032
1726941588.34,0.00302521651611
1726941597.72,0.0027124080807
1726941606.76,0.00153189594857
1726941615.65,0.00246798875742
1726941624.52,0.001653640531
1726941633.0,0.00542429508641
1726941641.73,0.00567065179348
1726941650.09,0.00286501203664
1726941658.38,0.00501694064587
1726941666.71,0.00559887848794
1726941674.89,0.00439208373427
1726941682.87,0.00877378042787
1726941690.99,0.00878166407347
1726941699.17,0.0150862354785
1726941707.33,0.0124295167625
1726941715.67,0.0161997638643
1726941723.99,0.0171991102397
1726941732.7,0.028071500361
1726941741.37,0.019328026101
1726941750.42,0.0204159040004
