time,data
1726939223.79,10675668000
1726939234.43,10660052000
1726939245.06,10679601000
1726939255.52,10391214000
1726939265.63,10086638000
1726939275.37,9796730000
1726939284.94,9597667000
1726939294.34,9409656000
1726939303.56,9200024000
1726939312.59,9036700000
1726939321.47,8891985000
1726939330.33,8751579000
1726939339.01,8677517000
1726939347.52,8541727000
1726939355.85,8442761000
1726939364.18,8298569000
1726939372.51,8256099000
1726939380.68,8256782000
1726939389.19,8397419000
1726939397.34,8141963000
1726939405.49,8187823000
1726939413.84,8335419000
1726939421.98,8211752000
1726939430.32,8268857000
