time,data
1726940461.7,10753844000
1726940472.5,10737667000
1726940483.14,10653050000
1726940493.59,10449411000
1726940503.69,10194179000
1726940513.62,9924392000
1726940523.38,9708057000
1726940532.95,9494361000
1726940542.35,9367573000
1726940551.39,9160478000
1726940560.43,9035966000
1726940569.47,8988239000
1726940578.34,8933860000
1726940587.21,8752234000
1726940595.89,8748222000
1726940604.58,8760038000
1726940613.26,8577361000
1726940621.78,8636953000
1726940630.46,8583041000
1726940639.33,8887688000
1726940648.02,8671670000
1726940656.53,8515752000
1726940665.21,8736878000
1726940674.79,9455365000
