d_m,x_m,y_m,psi_rad,k_radpm,v_mps,a_mps2
54.3355192,0.7548900,8.0961491,0.1942974,-0.1399184,8.0000000,-3.4644835
54.5352822,0.7190953,8.2926733,0.1658718,-0.1446911,7.9130177,-4.1139341
54.7350451,0.6889972,8.4901441,0.1364682,-0.1497191,7.8084714,-4.0123629
54.9348081,0.6648180,8.6884275,0.1060460,-0.1549222,7.7051401,-3.9107890
55.1345710,0.6467855,8.8873735,0.0745607,-0.1603159,7.6030732,-3.8056453
55.3343339,0.6351346,9.0867785,0.0419755,-0.1659640,7.5024175,-3.7006427
55.5340969,0.6301000,9.2864658,0.0082438,-0.1718071,7.4032267,-3.5944496
55.7338598,0.6319215,9.4862218,-0.0266818,-0.1778712,7.3055931,-3.4868028
55.9336228,0.6408378,9.6857628,-0.0628363,-0.1841631,7.2096201,-3.3751956
56.1333857,0.6570886,9.8848502,-0.1002741,-0.1907296,7.1154862,-3.2578241
56.3331486,0.6809141,10.0831887,-0.1390607,-0.1976039,7.0234293,-3.1419722
56.5329116,0.7125441,10.2804054,-0.1792293,-0.2046415,6.9334883,-3.0190328
56.7326745,0.7522107,10.4761759,-0.2208385,-0.2120068,6.8459534,-2.8842693
56.9324374,0.8001349,10.6701029,-0.2639616,-0.2197851,6.7612675,-2.7099341
57.1322004,0.8565224,10.8617155,-0.3087291,-0.2285283,6.6807222,-2.5271964
57.3319633,0.9216003,11.0505659,-0.3552825,-0.2375352,6.6047232,-2.3289477
57.5317263,0.9955651,11.2361175,-0.4036658,-0.2469118,6.5339034,-2.1527997
57.7314892,1.0785809,11.4177921,-0.4538625,-0.2557803,6.4677504,-1.9702890
57.9312521,1.1707703,11.5949932,-0.5058722,-0.2647416,6.4066070,-1.7693172
58.1310151,1.2721921,11.7670592,-0.5596661,-0.2740061,6.3511987,-1.4879110
58.3307780,1.3828923,11.9333303,-0.6154750,-0.2848803,6.3042261,-1.1662007
58.5305410,1.5028684,12.0930286,-0.6735248,-0.2962087,6.2671635,-0.7940239
58.7303039,1.6320590,12.2453240,-0.7338778,-0.3080074,6.2418031,-0.7940239
58.9300668,1.7703337,12.3894760,-0.7952590,-0.3066379,6.2163392,-0.6369275
59.1298298,1.9171556,12.5248667,-0.8565608,-0.3082941,6.1958376,-0.6172911
59.3295927,2.0720413,12.6509655,-0.9185686,-0.3122883,6.1759032,-0.6885769
59.5293556,2.2344181,12.7672506,-0.9796349,-0.2993266,6.1535905,-0.1062444
59.7291186,2.4034604,12.8736357,-1.0379512,-0.2820379,6.1501405,0.5612590
59.9288815,2.5782397,12.9703470,-1.0921245,-0.2604572,6.1683438,1.3145593
60.1286445,2.7577808,13.0578234,-1.1420102,-0.2390986,6.2107702,1.9909407
60.3284074,2.9413023,13.1366277,-1.1877577,-0.2198286,6.2744799,2.5431858
60.5281703,3.1281696,13.2073199,-1.2299274,-0.2023568,6.3549325,3.0047182
60.7279333,3.3176419,13.2703535,-1.2688427,-0.1874110,6.4486921,3.3588642
60.9276962,3.5093964,13.3262652,-1.3048910,-0.1744278,6.5519144,3.6373526
61.1274592,3.7030781,13.3754822,-1.3386420,-0.1633884,6.6618916,3.8441913
61.3272221,3.8981098,13.4183048,-1.3703827,-0.1545790,6.7761828,3.9664498
61.5269850,4.0944770,13.4551033,-1.4004672,-0.1471726,6.8921225,4.0410030
61.7267480,4.2918563,13.4861113,-1.4292806,-0.1413235,7.0082693,4.0577752
61.9265109,4.4899991,13.5115228,-1.4570619,-0.1369119,7.1229926,4.0194535
62.1262738,4.6887871,13.5315083,-1.4839601,-0.1317247,7.2348393,4.0383750
62.3260368,4.8879690,13.5462540,-1.5096260,-0.1253217,7.3454976,4.1384444
62.5257997,5.0875513,13.5560254,-1.5338437,-0.1169497,7.4571946,4.1666491
62.7255627,5.2872423,13.5611299,-1.5563341,-0.1078234,7.5679875,4.1327221
