d_m,x_m,y_m,psi_rad,k_radpm,v_mps,a_mps2
12.5936005,11.2718954,8.7081535,-0.4463906,-0.0838235,8.0000000,0.0000000
12.7934990,11.3597820,8.8878215,-0.4636618,-0.0890731,8.0000000,0.0000000
12.9933974,11.4508398,9.0659105,-0.4816984,-0.0910717,8.0000000,0.0000000
13.1932958,11.5450708,9.2422083,-0.5000567,-0.0915666,8.0000000,0.0000000
13.3931942,11.6424775,9.4167069,-0.5181064,-0.0890323,8.0000000,0.0000000
13.5930926,11.7430337,9.5895410,-0.5357040,-0.0871183,8.0000000,0.0000000
13.7929911,11.8465214,9.7604936,-0.5529380,-0.0853267,8.0000000,0.0000000
13.9928895,11.9529414,9.9297088,-0.5697993,-0.0833586,8.0000000,0.0000000
14.1927879,12.0621818,10.0971509,-0.5862643,-0.0813490,8.0000000,0.0000000
14.3926863,12.1740795,10.2627197,-0.6023177,-0.0793123,8.0000000,0.0000000
14.5925848,12.2886368,10.4265643,-0.6179683,-0.0772464,8.0000000,0.0000000
14.7924832,12.4057021,10.5886088,-0.6332007,-0.0751418,8.0000000,0.0000000
14.9923816,12.5251497,10.7488259,-0.6480043,-0.0730048,8.0000000,0.0000000
15.1922800,12.6469748,10.9073511,-0.6623846,-0.0708421,8.0000000,0.0000000
15.3921784,12.7710127,11.0641099,-0.6763272,-0.0686518,8.0000000,0.0000000
15.5920769,12.8971627,11.2191187,-0.6898267,-0.0664368,8.0000000,0.0000000
15.7919753,13.0254079,11.3724959,-0.7028862,-0.0641993,8.0000000,0.0000000
15.9918737,13.1555875,11.5241874,-0.7154938,-0.0619412,8.0000000,0.0000000
16.1917721,13.2876177,11.6742359,-0.7276466,-0.0596645,8.0000000,0.0000000
16.3916705,13.4214656,11.8227408,-0.7393458,-0.0573689,8.0000000,0.0000000
16.5915690,13.5569868,11.9696783,-0.7505827,-0.0550579,8.0000000,0.0000000
16.7914674,13.6941094,12.1151076,-0.7613556,-0.0527329,8.0000000,0.0000000
16.9913658,13.8327790,12.2591059,-0.7716638,-0.0503923,8.0000000,0.0000000
17.1912642,13.9728782,12.4016861,-0.7815021,-0.0480403,8.0000000,0.0000000
17.3911627,14.1143380,12.5429121,-0.7908688,-0.0456773,8.0000000,0.0000000
17.5910611,14.2570932,12.6828524,-0.7997627,-0.0433016,8.0000000,0.0000000
17.7909595,14.4010455,12.8215433,-0.8081804,-0.0409174,8.0000000,0.0000000
