t_s,d_m,x_m,y_m,psi_rad,k_radpm,vx_mps,vy_mps,a_mps2,omega_radps,delta_rad,s_m
13.855446558633108,50.873847385938475,2.8812557951798197,3.4678143775036685,2.1780501675946224,-0.16216393106096472,4.153129401892905,-0.09361480281219992,1.5441098477821937,-0.6734877900158266,-0.05346310102718465,53.85581513149509
13.906119911960957,51.08633631090635,2.7639697044023683,3.6450021765874228,2.1441048527601585,-0.1552731242614746,4.231444127339756,-0.09132710742079791,1.5940254033260313,-0.6570295497899129,-0.0511953569928537,54.041212101114766
13.955804195577635,51.2985889901238,2.6527152579387376,3.8257607115921566,2.111743259185654,-0.14898033065428903,4.310703392361291,-0.08926719232777053,1.634264394421701,-0.6422100167465506,-0.049123956230681456,54.37000604035411
14.004495588907133,51.51046544372636,2.5473936316972132,4.009605718696074,2.081039445394171,-0.1375597200612682,4.3903996853344855,-0.0839479590823652,1.8360067624819756,-0.6039421516716919,-0.04536356480221604,54.55540300997379
14.052206495574165,51.72206336068049,2.4476002657125315,4.196193399331138,2.052917520243852,-0.12414001312638685,4.478133100787914,-0.07727225476597917,2.0686559875791652,-0.555915501913519,-0.0409433104770174,54.69879997959346
14.098924322691335,51.93356063052862,2.3527851268108226,4.385246790171566,2.0276587607775265,-0.11041059654856923,4.574904110265354,-0.07021138698339897,2.2849817335928533,-0.5051178919668992,-0.03641938643234363,55.02759391883281
14.144633549582323,52.14508763015638,2.262397294003803,4.576489335783091,2.0053066926874115,-0.09652374713894124,4.679466438985224,-0.06278346930694627,2.4874022825523205,-0.4516796353017716,-0.03184207044582481,55.27238785807215
14.18932684921105,52.35673153061961,2.175885846303174,4.7696444807314755,1.9858834402153862,-0.08259078793125847,4.790742129113046,-0.05499829224343007,2.67641277469093,-0.3956711672189213,-0.02724821439707949,55.517181797311494
14.233003480430746,52.56854162272707,2.0926998627206523,4.9644356695824525,1.9693954751405567,-0.06868578894018705,4.9077308377565805,-0.046855699665138036,2.8511926517055417,-0.33709136449739585,-0.022662429852903253,55.88076967579018
14.275668527498055,52.78053475461703,2.0122884222679382,5.160586346901787,1.9558388388902075,-0.0548505959876898,5.029454598357327,-0.03834573292759677,3.009760339903647,-0.27586858221292637,-0.018098720255869862,55.98216664540985
14.317332616090411,52.99270080276166,1.9341006039567492,5.35781995725521,1.9452036672595427,-0.041100445049200414,5.1549155738659955,-0.029449836074495604,3.148906439068105,-0.21186932427694677,-0.01356231527058997,56.28635755426886
14.358011940975434,53.205008127134214,1.8575854867987862,5.555859945208489,1.9374779375728517,-0.027429672320743555,5.283056684733541,-0.02014283940626752,3.263979239401168,-0.14491251371415484,-0.009051544658669185,56.4891514935082
14.397728535512424,53.41740898578028,1.782192149805765,5.754429755327354,1.9326504194307186,-0.013817251810701127,5.412719241240057,-0.0103956577584209,-1.1195685968654288,-0.07478890473684101,-0.004559661498034736,56.751342402367214
14.437136614486977,53.62984490335254,1.7073696719893876,5.95325283217757,1.9307128453660714,-0.00023206610583193304,5.368609173694819,-0.0001731762392295398,-1.8000000000000027,-0.0012458722246729485,-7.658181477482621e-05,56.912136341606555
14.476967215120126,53.84225200234457,1.6325671323613697,6.152052620324868,1.9316613319318405,0.013362060216505031,5.29690495909224,0.009838081260404755,-1.7999999999999978,0.07077756302449463,0.004409451293187376,57.27572422008524
14.517326621054487,54.05456631503554,1.5572336099334134,6.350552564335017,1.9354970806508223,0.027001456862873075,5.224230369159576,0.01960759450268576,-1.799999999999997,0.14106183095457378,0.008910244955155452,57.37712118970491
14.55822580284897,54.26672909878186,1.4808181837172343,6.5484761087737455,1.9422263772025703,0.04071768797858014,5.150566144394896,0.02915096118009088,-1.7999999999999927,0.2097191451805099,0.013436028453198079,57.63931209856392
