%time,field.data
1726797451994896987,13567908000
1726797465300747693,13358839000
1726797478597193498,13307875000
1726797491717169220,13022682000
1726797504480653831,12721975000
1726797516904516127,12406956000
1726797528948553791,12177158000
1726797540841230481,11930860000
1726797552540926281,11687428000
1726797564061577283,11494512000
1726797575421835367,11351398000
1726797586579686377,11148880000
1726797597577733293,11009433000
1726797608566203080,10909931000
1726797619374067818,10764673000
1726797630008037921,10718932000
1726797640835539429,10745934000
1726797651477600348,10716184000
1726797662126215783,10709485000
1726797672941320728,10827840000
1726797683942574177,10845044000
1726797694573541955,10713993000
1726797705208990445,10695386000
1726797716046838549,10702998000
1726797726852662440,10822442000
