%time,field.data
1726797047192197833,13529328000
1726797060313107607,13259727000
1726797073614449966,13254454000
1726797086556709589,12935777000
1726797099137763208,12593493000
1726797111377897779,12289358000
1726797123431948145,12041270000
1726797135301213732,11823195000
1726797147006041780,11630243000
1726797158348133649,11393573000
1726797169518439741,11237519000
1726797180515426911,11012649000
1726797191502874042,10899151000
1726797202321487921,10761214000
1726797212955451372,10733639000
1726797223591045936,10574771000
1726797234229063957,10599566000
1726797244693330862,10614805000
1726797255327958666,10583452000
1726797266146643400,10768491000
1726797276784863732,10729693000
1726797287441718595,10663045000
