%time,field.data
1726797452096650289,0.00434018438682
1726797465426637919,0.00166192115285
1726797478711665010,0.000777802662924
1726797491822363334,0.000882758293301
1726797504620283006,0.000593382108491
1726797517000287083,0.00122180522885
1726797529049767097,0.00092148501426
1726797540936215164,0.00139348662924
1726797552638384731,0.00237918575294
1726797564167567690,0.00111536157783
1726797575554370129,0.000969316635747
1726797586676485754,0.00283512752503
1726797597681954929,0.00271702511236
1726797608659261617,0.00409596040845
1726797619502503500,0.00250863423571
1726797630105190901,0.00596314342692
1726797640935906561,0.00825647544116
1726797651637569135,0.00450650975108
1726797662226930597,0.00379394576885
1726797673038834126,0.00381237734109
1726797684039623799,0.00321541936137
1726797694681547828,0.00157499010675
1726797705306440804,0.00321793393232
1726797716143420906,0.00217431806959
1726797726973417787,0.00328920106404
