%time,field.data
1726796617585273210,0.00351928407326
1726796631034416704,0.00099189102184
1726796644350748829,0.000493545026984
1726796657460806155,0.000558992556762
1726796670237890369,0.000646434375085
1726796682820645195,0.000847795105074
1726796695053868040,0.000769928505179
1726796706933700398,0.00146971514914
1726796718814734752,0.0011604714673
1726796730316099274,0.00184445898049
1726796741847881721,0.00207543419674
1726796753008940215,0.00367446639575
1726796764176360271,0.00315465242602
1726796775168750354,0.00317008746788
1726796786177893411,0.00599110405892
1726796796995781869,0.00993186794221
1726796807797260283,0.00327760609798
1726796818443906194,0.00359336938709
1726796829267131309,0.00465782172978
