t_s,d_m,x_m,y_m,psi_rad,k_radpm,vx_mps,vy_mps,a_mps2,omega_radps,delta_rad,s_m
22.417645767640415,84.68328249854812,24.269853472441554,17.844983341679033,0.05687899882310121,-0.10499818153284972,5.092837979159889,-0.07432868300479778,-1.799999999999997,-0.5347387266532215,-0.03463554341657269,0.0
0.04151131504196037,0.20988204617321846,24.47954790724197,17.85385561983019,0.03453936907524371,-0.10906697500937901,5.018083354948355,-0.0760756968898095,-1.7981012870395412,-0.547307171869133,-0.03597657205578601,0.21000000000000085
0.08368583533581209,0.41994249112387216,24.689568904815175,17.857926382808042,0.011315287889270382,-0.11333282392970453,4.942212723392141,-0.07785597449206526,-1.74273723001118,-0.5601149244033471,-0.037382408877177316,0.4200000000000017
0.12652955752235595,0.6301120812557871,24.899736426455522,17.856993932395774,-0.012827820474680916,-0.11778587883421124,4.867508253979691,-0.07969199950246071,-1.6853699043249968,-0.573323737427775,-0.03884978280951822,0.6300000000000026
0.17004065278468605,0.8403356957980306,25.109870433457367,17.85085657037659,-0.03792315621781927,-0.12241206121153797,4.794134340179985,-0.08157352141659636,-1.6264125501600692,-0.5868598663064486,-0.04037402849437974,0.8400000000000034
0.21421840609442633,1.0505733236141843,25.319790887115065,17.839312598533688,-0.0640019401726682,-0.127192317336794,4.7222390711633,-0.08348792173666579,-1.5664842793906528,-0.6006325304796098,-0.041948841522844074,1.0500000000000007
0.25906362139641903,1.2608010725924135,25.52931774872296,17.82216031865026,-0.09109271086360385,-0.13210185782965658,4.6519435316269675,-0.0854197232434741,-1.506506302221805,-0.6145303830465763,-0.043566029383212766,1.2600000000000016
0.3045792058353394,1.4710122028127015,25.738270979575418,17.799198032509498,-0.11922051930022651,-0.13710941895608952,4.583325904395032,-0.0873499840776815,-1.447839674302127,-0.6284171516379964,-0.04521527002625726,1.4700000000000024
0.3507710203728447,1.6812181720326742,25.946470540966782,17.770224041894608,-0.1484060220690831,-0.1421765946176433,4.516397982098563,-0.08925552581955498,-1.3924759537918836,-0.6421260850327696,-0.04688389417148034,1.6800000000000033
0.3976491276613814,1.891449679092372,26.15373639419141,17.735036648588775,-0.1786644784172549,-0.1472573016837527,4.451070881398636,-0.09110792357610616,-1.343281135532076,-0.655452687597886,-0.04855671193263154,1.9073969696196722
0.4452296274965537,2.101757687685148,26.359888500543658,17.693434154375204,-0.21000466370646498,-0.15229745446018347,4.387106317767189,-0.09287217232525631,-1.3042547393703052,-0.6681451246421316,-0.05021590858197116,2.117396969619673
0.49353733916733145,2.3122144096981585,26.56474682131788,17.645214861037083,-0.24242771990624398,-0.15723493462560797,4.324051056568232,-0.0945049720424243,-1.2806756829074544,-0.679891885197297,-0.051841037636585194,2.3027939392393404
0.5426096398172646,2.5229142241631646,26.76813131780842,17.59017707035762,-0.2759259735798134,-0.1619999482314212,4.261157770784069,-0.09595272001993832,-1.1671550490884852,-0.6903073382729373,-0.053409141065530734,2.530190908859013
0.5924686600607307,2.7339745050041433,26.969861951309642,17.528119084119997,-0.3104817627271161,-0.16651585819052137,4.202919107185466,-0.09727952280332756,-1.0239942711577472,-0.6998526820383277,-0.054895025264611236,2.7575878784786845
