t_s,d_m,x_m,y_m,psi_rad,k_radpm,vx_mps,vy_mps,a_mps2,omega_radps,delta_rad,s_m,vfwd_mps,vbwd_mps,vmax_mps
4.7630327194716,20.419149719580787,22.761068786707057,6.731312750794646,3.050014237767841,-0.06980002339373605,5.4755409620554385,-0.05312481132703132,2.6578820010283724,-0.3821928872448296,-0.02302993533289148,21.09747574930468,5.475798669849498,5.903355130480024,6.493328087432594
4.775777377708961,20.489152757192304,22.69142447744842,6.738390565621769,3.0450089891563996,-0.06806551224568222,5.509425891778845,-0.052125263474993674,2.685568187042584,-0.3750018955035516,-0.02245784270639547,21.181475749304685,5.509672467587838,5.881971681431606,6.575542247284831
4.788439861238189,20.55913419403736,22.62183615779587,6.745797810104859,3.0401279498895373,-0.06634855385391782,5.543442690752979,-0.05112411742059082,2.713166857211065,-0.3677994059035311,-0.021891525011402766,21.223475749304683,5.543678430522884,5.8605168448287195,6.660079302121426
4.801020005929496,20.62908916376371,22.55230928046401,6.753525107038144,3.035370080393795,-0.06464845269502144,5.577585269967481,-0.050120933789433816,2.7406828203611284,-0.3605822574779411,-0.02133075362867727,21.307475749304682,5.5778104621582605,5.838991333912587,6.7470831693528
4.813517648458516,20.69901268010384,22.482849298167444,6.761563079215857,3.0307343712910826,-0.06296448160553715,5.611847610596874,-0.04911524351542014,2.768120455617885,-0.3533470756505045,-0.020775289454449456,21.391475749304682,5.612062536332559,5.817395906991531,6.836712465768529
4.825932626477323,20.768899640659622,22.413461663620765,6.769902349432224,3.0262198450537396,-0.06129588288455994,5.646223757696859,-0.048106547556661126,2.795483652365947,-0.3460902701918066,-0.020224883265416847,21.433475749304684,5.646428690942467,5.795731367194395,6.929142273371776
4.838264778784231,20.8387448306116,22.34415182953859,6.778533540481475,3.021825557580846,-0.059641869214061456,5.680707813350814,-0.04709431651015612,2.82277574622497,-0.3388080324471663,-0.019679276023686163,21.517475749304683,5.680903021114913,5.773998562249033,7.024566173179321
4.850513945493377,20.908542926355054,22.2749252486355,6.787447275157838,3.017550599701663,-0.05800162440004863,5.715293929251004,-0.04607799012302099,1.218674568946958,-0.3314963318202948,-0.019138199122658593,21.601475749304683,5.715479671812958,5.752198384285565,7.123198596244581
4.862701036477048,20.978288499064668,22.20578737362612,6.796634176255547,3.0133940986152483,-0.056374303937384,5.730155847014602,-0.04490166307861691,-1.8000000000000163,-0.32303354732817924,-0.01860137457477536,21.643475749304685,5.730331769664201,5.730331769664201,7.225277551894605
4.87488552027536,21.0479760181902,22.13674365722503,6.806084866568828,3.0093552192710216,-0.054759035400773225,5.708234347879759,-0.04344825953567258,-1.7999999999999938,-0.3125774067314574,-0.018068515141936182,21.727475749304684,5.7083996988272405,5.7083996988272405,7.3310678066343575
4.887105799526623,21.117599854885214,22.06779955214684,6.8157899688919095,3.0054331656994555,-0.053154918664057464,5.686247990931231,-0.042013034875163766,-1.8000000000000265,-0.3022520494616098,-0.017539324409284275,21.811475749304684,5.686403196174967,5.686403196174967,7.440864604160527
4.899361280754391,21.187154285371342,21.998960511106155,6.825740106019023,3.001627182297951,-0.051561025949528314,5.664197859259828,-0.040595207539833665,-1.7999999999999758,-0.29205185280455875,-0.017013496802914793,21.853475749304682,5.664343329964986,5.664343329964986,7.554998038508121
4.911651346160159,21.25663349424043,21.93023198681757,6.835925900744396,2.997936555079128,-0.049976401708526436,5.642085079062651,-0.03919398434350363,-1.8000000000000203,-0.2819711103849182,-0.0164907175519149,21.895475749304683,5.642221212234603,5.642221212234603,7.673838219957552
4.923975353653951,21.326031577697,21.861619431995692,6.846337975862259,2.9943606128878115,-0.048400062334084074,5.619910819584462,-0.03780856072320352,-1.799999999999984,-0.27200403397988143,-0.01597066259498022,21.895475749304683,5.6200379987457785,5.6200379987457785,7.797801408900062
4.936332636872651,21.395342546743663,21.79312829935512,6.856966954166839,2.990899832491108,-0.04683099570583094,5.597676293081451,-0.036438120867706154,-1.8000000000000305,-0.2621447544439291,-0.015452998431675361,22.080872718924354,5.597794888952119,5.597794888952119,7.927357339053104
4.9487225825399825,21.464560761596378,21.724763603681797,6.867803450505143,2.987532791129581,-0.04499664906905926,5.575383935542476,-0.03487142961782967,-1.7999999999999838,-0.25087359437287526,-0.01484780299460688,22.164872718924354,5.575492986750921,5.575492986750921,8.0
4.961145715880253,21.533686953590735,21.65652380589169,6.878837960789065,2.984282005279735,-0.04295991296209607,5.553032342742893,-0.03315953227067154,-1.799999999999981,-0.2385577861199391,-0.014175821638853087,22.206872718924355,5.553131346738435,5.553131346738435,8.0
4.9736034534004645,21.602726730621953,21.588402321125585,6.8900608893632675,2.981173460978096,-0.04089637903920778,5.530618059959575,-0.031439333097666076,-1.8000000000000143,-0.22618225250119475,-0.013494985811754436,22.290872718924355,5.530707419202053,5.530707419202053,8.0
4.986097242386116,21.67168573677194,21.52039243469512,6.901462638216359,2.978208549803709,-0.03880757453834958,5.508138461803703,-0.02971229165543564,-1.8000000000000382,-0.21375749392399737,-0.012805799550439848,22.374872718924355,5.508218599027882,5.508218599027882,8.0
4.998628539145459,21.740569528593074,21.452487431911937,6.9130336093369475,2.975388590496393,-0.036695026526408346,5.485590908185444,-0.027979852640555622,-1.8000000000000147,-0.20129390388888932,-0.012108766914176542,22.416872718924356,5.485662264861062,5.485662264861062,8.0
5.0111988101476275,21.809383579346985,21.38468059808768,6.92476420471364,2.9727148292481407,-0.0345602604868048,5.46297274229083,-0.026243444779818076,-1.800000000000018,-0.18880176100588544,-0.01140439151598125,22.500872718924356,5.463035777057158,5.463035777057158,8.0
5.023809533214518,21.87813328333333,21.316965218534,6.93664482633505,2.9701884400448657,-0.03240479909445518,5.440281288455717,-0.024504479881592645,-1.8000000000000214,-0.17629122216973125,-0.010693176115629924,22.542872718924354,5.440336475536753,5.440336475536753,8.0
5.03646219876752,21.94682396030306,21.249334578562536,6.948665876189782,2.96781052504875,-0.03023016117323256,5.417513849935299,-0.022764352041005156,-1.7999999999999823,-0.16377231684176372,-0.00997562227249612,22.626872718924353,5.417561677541348,5.417561677541348,8.0
5.04915831113018,22.015460859950554,21.181781963484934,6.960817756266449,2.9655821150151804,-0.028037860829876315,5.394667706567557,-0.02102443699084352,-1.800000000000032,-0.15125494238016918,-0.009252230056255294,22.710872718924353,5.39470867528856,5.39470867528856,8.0
5.061899389888062,22.084049166479115,21.114300658612834,6.973090868553655,2.963504169733756,-0.025829406757197526,5.371740112328783,-0.019286091589385875,-1.7999999999999687,-0.13874886035529405,-0.008523497813128804,22.752872718924355,5.371774733524371,5.371774733524371,8.0
5.074686971307118,22.152594003234192,21.04688394925789,6.985475615040012,2.9615775784882423,-0.023606301698415735,5.348728292779184,-0.017550653435725462,-1.8000000000000231,-0.12626369378219754,-0.007789921985006894,22.836872718924354,5.34875708697007,5.34875708697007,8.0
5.087522609812039,22.221100437398924,20.979525120731733,6.9979623977141285,2.959803160525662,-0.021370042063553044,5.32562944239632,-0.015819440602647918,-1.8000000000000356,-0.1138089251989059,-0.007051996978489108,22.878872718924356,5.325652937661213,5.325652937661213,8.0
5.1004078795261325,22.289573484746295,20.912217458346014,7.0105416185646146,2.95818166552931,-0.01912211768798916,5.302440721793907,-0.014093751476686369,-1.7999999999999778,-0.10139389551572928,-0.006310215080608093,22.962872718924356,5.302459452175846,5.302459452175846,8.0
5.113344375874469,22.358018114442576,20.844954247412385,7.023203679580076,2.9567137740877083,-0.016864011722545667,5.279159254823267,-0.012374864694634977,-1.7999999999999874,-0.08902780355852503,-0.0055650664177590665,23.046872718924355,5.279173758748841,5.279173758748841,8.0
5.126333717252139,22.426439253896522,20.77772877324248,7.035938982749123,2.9554000981536546,-0.01459720064382751,5.255782125554372,-0.01066403916554736,-1.799999999999996,-0.0767197062269594,-0.004817038954144546,23.088872718924353,5.255792944269034,5.255792944269034,8.0
5.139377546759622,22.494841793648796,20.71053432114794,7.048737930060367,2.954241181487783,-0.012323154372990766,5.232306375133224,-0.008962514167069514,-1.7999999999999705,-0.06447851918755046,-0.004066618525858254,23.172872718924356,5.232314051155567,5.232314051155567,8.0
5.15247753400746,22.56323059229631,20.64336417644042,7.061590923502413,2.9532375000799895,-0.010043336490624447,5.2087289985118685,-0.007271509504853391,-1.8000000000000145,-0.052313018020527985,-0.003314288906571812,23.214872718924354,5.20873407410946,5.20873407410946,8.0
5.165635376992618,22.63161048144607,20.576211624431565,7.074488365063874,2.9523894625454026,-0.0077592045350398835,5.1850469410470374,-0.005592225723771993,-1.7999999999999874,-0.04023183973936685,-0.0025605319006565645,23.298872718924354,5.185049956736173,5.185049956736173,8.0
5.17885280404907,22.6999862706931,20.509069950433002,7.087420656733354,2.9516974104881935,-0.005472210370938696,5.161257094963063,-0.003925844359697155,-1.8000000000000071,-0.0282434846021378,-0.001805827459465048,23.382872718924354,5.16125858803456,5.16125858803456,8.0
5.192131575875377,22.768362752617087,20.4419324397564,7.100378200499465,2.9511616188318985,-0.003183800615177089,5.1373562956742225,-0.002273528220702656,-1.799999999999979,-0.01635631813455148,-0.0010506538164119872,23.424872718924355,5.137356798747206,5.137356798747206,8.0
5.205473487642319,22.836744707792636,20.37479237771338,7.113351398350816,2.950782296109647,-0.0008954171061685834,5.113341317961241,-0.0006364216867235735,-1.8000000000000185,-0.004578573285781104,-0.0002954876364356672,23.508872718924355,5.11334135756671,5.11334135756671,8.0
5.218880371183753,22.90513690980747,20.307643049615603,7.126330652276017,2.95055958471418,0.0013915025966438521,5.089208871996299,0.0009843489830741636,-1.79999999999999,0.00708164736024578,0.0004591958246170014,23.550872718924353,5.0892089671921275,5.0892089671921275,8.0
5.232354097274298,22.973544130283674,20.240477740774704,7.139306364263673,2.9504935611028253,0.0036755246968650525,5.064955599210197,0.00258767534568566,-1.8000000000000236,0.01861636939342201,0.0012129225551555276,23.634872718924356,5.064956260229147,5.064956260229147,8.0
5.245896577997597,23.04197114389645,20.173289736502333,7.152268936302395,2.9505842359573213,0.005955218642370887,5.040578067994968,0.004172466482560075,-1.7999999999999698,0.030017744478849463,0.0019652196220280044,23.718872718924356,5.0405797949272095,5.0405797949272095,8.0
5.259509769209325,23.110422733385303,20.106072322110126,7.165208770380794,2.950831554295874,0.008229156617192736,5.0160727692344755,0.005737648730555998,-1.799999999999964,0.04127804842126617,0.002715615008160896,23.760872718924354,5.016076050746098,5.016076050746098,8.0
5.273195673099382,23.17890369455227,20.03881878290974,7.178116268487475,2.9512353955372186,0.01049591305743973,4.991436111655034,0.00728216544489778,-1.7999999999999914,0.05238967945969627,0.003463637458051323,23.844872718924353,4.9914414237439955,4.9914414237439955,8.0
5.28695634085812,23.247418841242173,19.97152240421281,7.19098183261105,2.95179557351631,0.012754064204426822,4.966664416987255,0.00880497680299756,-1.8000000000000003,0.06334515685609755,0.004208816335437916,23.886872718924355,4.966672221778265,4.966672221778265,8.0
5.300793875451838,23.315973010299416,19.904176471330977,7.203795864740126,2.952511836451731,0.015002187707911143,4.941753914929721,0.010305059657493182,-1.80000000000003,0.07413711983808043,0.004950681497388466,23.970872718924355,4.941764659509573,4.941764659509573,8.0
5.3147104345132,23.384571066496342,19.836774269575894,7.216548766863312,2.953383866866024,0.017238862292015687,4.916700737904171,0.011781407446297685,-1.799999999999998,0.08475832695178191,0.005688763188935535,24.054872718924354,4.916714853199119,4.916714853199119,8.0
5.328708233352762,23.453217907427792,19.769309084259206,7.229230940969219,2.954411281460165,0.01946266749602595,4.891500915591064,0.013233030166855099,-1.7999999999999636,0.09520165587665537,0.006422591962260945,24.096872718924356,4.891518815287908,4.891518815287908,8.0
5.342789548098217,23.521918468366717,19.701774200692554,7.241832789046453,2.9555936309436164,0.02167218350179211,4.866150369233443,0.014658954421158346,-1.8000000000000012,0.1054601037493406,0.007151698624279953,24.180872718924356,4.866172448746088,4.866172448746088,8.0
5.356956718968638,23.59067772707561,19.634162904187573,7.254344713083626,2.9569303998236256,0.02386599105895731,4.8406449056959655,0.016058223537410876,-1.8,0.11552678803892717,0.007875614216306398,24.264872718924355,4.840671541179331,4.840671541179331,8.0
5.371212153691504,23.65950070856851,19.566468480055917,7.2667571150693435,2.958421006155491,0.026042671518641983,4.814980211264908,0.01742989777349194,-1.8000000000000342,0.1253949480107334,0.008593870029284518,24.306872718924353,4.815011758678171,4.815011758678171,8.0
5.385558331071092,23.72839248981844,19.498684213609234,7.279060396992216,2.9600648012583113,0.028200806985572334,4.789151845173635,0.018773054606637158,-1.7999999999999634,0.13505794681033928,0.009305997657860712,24.390872718924356,4.789188639394912,4.789188639394912,8.0
5.399997804717428,23.79735820440505,19.43080339015916,7.291244960840854,2.9618610693996206,0.030338980597918713,4.763155232836804,0.020086789112953602,-1.800000000000003,0.1445092741939108,0.010011529096329583,24.432872718924354,4.763197586831508,4.763197586831508,8.0
5.41453320694589,23.866403047097137,19.362819295017342,7.303301208603865,2.9638090274539906,0.032455776943322065,4.736985658775082,0.02137021443956383,-1.7999999999999805,0.1537425499249196,0.010709996879228164,24.516872718924354,4.737033862820277,4.737033862820277,8.0
5.429167252858408,23.93553227836501,19.29472521349543,7.3152195422698565,2.9659078245400976,0.03454978261873379,4.71063825921052,0.02262246237131875,-1.8000000000000245,0.16275152785121402,0.011400934269070524,24.600872718924354,4.710692580177745,4.710692580177745,8.0
5.443902744618187,24.00475122881741,19.226514430905056,7.326990363827439,2.968156541642303,0.03661958694076271,4.684108014311052,0.023842683993128187,-1.7999999999999647,0.17153010066998697,0.012083875493407326,24.642872718924355,4.684168695010142,4.684168695010142,8.0
5.458742575930936,24.074065303557767,19.158180232557875,7.338604075265222,2.9705541912224565,0.038663782812224635,4.657389740060661,0.025030050448040835,-1.7999999999999923,0.18007230538158875,0.012758356033065523,24.726872718924355,4.657456998647195,4.657456998647195,8.0
5.473689736746808,24.143479986454743,19.089715903765526,7.350051078571813,2.9730997168279525,0.04068096774952489,4.630478079729573,0.02618375379026414,-1.7999999999999954,0.18837232942636073,0.01342391296307241,24.768872718924356,4.630552109178626,4.630552109178626,8.0
5.488747318198509,24.213000844321787,19.02111472983966,7.361321775735821,2.975791992703576,0.04266974507436502,4.603367494916647,0.02730300793134792,-1.799999999999982,0.19642451749171164,0.014080085347392782,24.852872718924356,4.603448462565565,4.603448462565565,8.0
5.503918517792522,24.28263353100071,18.952369996091907,7.3724065687458555,2.9786298234134905,0.044628725272060375,4.576052256133424,0.02838704967677032,-1.8000000000000058,0.20422337896957063,0.014726414688211755,24.936872718924356,4.576140303296343,4.576140303296343,8.0
5.519206644871931,24.35238379134407,18.883474987833928,7.3832958595905245,2.9816119434814294,0.04655652751749367,4.548526432896605,0.029435139849170535,-1.7999999999999887,0.2117635960371981,0.015362445430080673,24.978872718924354,4.548621674553408,4.548621674553408,7.9506903724730345
5.53461512637117,24.422257465091565,18.814422990377352,7.393980050258438,2.9847370170563767,0.04845178136840079,4.520783883292433,0.03044656449346341,-1.8000000000000103,0.21904003232707486,0.015987725518807037,25.062872718924353,4.520886407854777,4.520886407854777,7.793638482096456
5.55014751288487,24.492260490635168,18.74520728903384,7.404449542738206,2.9880036376123207,0.05031312862430537,4.492818242973169,0.03142063615806253,-1.7999999999999647,0.22604774214433473,0.016601807014516325,25.146872718924353,4.492928112130117,4.492928112130117,7.648116048720129
5.565807485075258,24.56239890866843,18.67582116911502,7.414694739018435,2.9914103276895228,0.052139225347998086,4.4646229135417625,0.03235669524543558,-1.7999999999999965,0.23278198018298973,0.01720424675784745,25.188872718924355,4.46474016218742,4.46474016218742,7.51299057201093
5.581598860444878,24.63267886571489,18.606257915932545,7.424706041087734,2.9949555386866638,0.05392874404498569,4.4361910502767445,0.03325411142421928,-1.799999999999974,0.2392382116850308,0.017794607087761632,25.272872718924354,4.436315686522105,4.436315686522105,7.387287103836343
5.597525600504154,24.703106617530995,18.53651081479806,7.434473850934713,2.9986393832745093,0.05568037599484187,4.407515549144414,0.03411228509414674,-1.8000000000000196,0.2454121229794729,0.018372456608955166,25.356872718924354,4.407647554415408,4.407647554415408,7.270161382553715
5.613591776963974,24.773688351089493,18.466573314173203,7.4439884249383566,3.0023882374987156,0.05854075012554404,4.378583478644943,0.03562925302447928,-1.799999999999995,0.25632556132718903,0.019316044848992815,25.398872718924355,4.378728436787732,4.378728436787732,7.090322503310472
5.62979952702989,24.84442126515349,18.396447079617253,7.453232685805964,3.006198791086993,0.06344497728518729,4.349385359436811,0.038356585091425255,-1.800000000000002,0.2759466553339946,0.020933784077244295,25.482872718924355,4.349554486669083,4.349554486669083,6.810774603526438
5.646148072069128,24.91528960514701,18.32614568324208,7.4621789297741135,3.0103644076713634,0.06836239251634711,4.31993207568552,0.04104960401607406,-1.8000000000000116,0.2953208922019716,0.0225557635764581,25.566872718924355,4.320127105598455,4.320127105598455,6.561248768628976
5.662636476631528,24.986276927888596,18.255683630164963,7.470798620382032,3.0148854594293417,0.07330217365204386,4.29022528665655,0.04371311461667544,-1.7999999999999816,0.31448283896888807,0.02418500081768626,25.608872718924356,4.290447977386133,4.290447977386133,6.336314199155848
5.679263892701572,25.057367167666825,18.18507542550319,7.47906322116895,3.0197627980997397,0.07827306523932277,4.260266484713436,0.04635151219278765,-1.7999999999999896,0.33346411649487506,0.025824369256689128,25.692872718924356,4.260518628460054,4.260518628460054,6.131813825453576
5.696029569343455,25.128544666196376,18.114335574374046,7.486944195674092,3.0249977345217594,0.08328338661772347,4.2300569790625255,0.04896879244151466,-1.7999999999999967,0.3522934708022637,0.027476600883960936,25.776872718924356,4.230340410504663,4.230340410504663,5.944508365944725
