17 nan
18 21.57814888892595
19 22.17712267913121
20 21.066064246927613
21 20.965270398734194
22 21.032720393050806
23 20.92093901304471
24 20.88694719364137
25 20.82755946491909
26 20.813085205605542
27 20.837571243692906
28 20.806188293631337
29 20.68531851161584
30 20.752812447381565
31 20.832985819141992
32 20.866585746854042
33 20.784871794964072
34 20.747459479092143
35 20.77653629149894
36 20.834824223513746
37 20.77422193692039
38 20.818988798374882
39 21.213217681787512
40 20.846120623196725
41 21.12161720223297
42 21.276943254776565
43 21.1867211483056
44 21.552106247111563
45 21.246725938137345
46 21.771174309272432
47 21.56638523527566
48 21.834175386791284
49 21.682083572548002
50 21.875210168818693
